time,Q_1,Q_3,Q_2
2017-09-02T00:00:00,0.000529686823143782,2.7915260537738556e-7,1.0515591976588913e-18
2017-09-03T00:00:00,0.0018503644960380869,1.049624987297236e-6,4.7705909742696726e-17
2017-09-04T00:00:00,0.002284835162573775,1.5262072216550304e-6,2.7002015866333783e-16
2017-09-05T00:00:00,0.005510328484518365,0.000129442154135934,3.875075501440851e-5
2017-09-06T00:00:00,0.03381465653456902,0.02283726744598398,53.13518302336027
2017-09-07T00:00:00,0.1413109463533052,0.13029877281240576,68.95202459183345
2017-09-08T00:00:00,17.010945870750614,0.19028334677994416,68.81881513418278
2017-09-09T00:00:00,35.49892301672025,0.18841064195921006,68.7520170575516
2017-09-10T00:00:00,35.02655189554409,0.17121907251126747,70.95289273941287
2017-09-11T00:00:00,39.06990250789144,0.2995540718034272,81.66915118346894
2017-09-12T00:00:00,46.24140338770431,0.684360435284766,83.24474978495746
2017-09-13T00:00:00,48.11307000469949,0.7230817166703934,83.01251914613701
2017-09-14T00:00:00,50.18835686954398,0.6960114641475964,83.06258544778039
2017-09-15T00:00:00,50.25127489479187,0.6694761803490095,83.42642382472836
2017-09-16T00:00:00,49.9569345634786,0.6596929916602855,83.53314681509973
2017-09-17T00:00:00,49.59515939407706,0.6816933532006447,83.07805397730077
2017-09-18T00:00:00,49.287403578155555,0.715297522574323,82.24847805501587
2017-09-19T00:00:00,48.90459731051427,0.6910813742756033,81.94279413745258
2017-09-20T00:00:00,48.228024160668475,0.6525527347902066,81.96698575561508
2017-09-21T00:00:00,47.970361636367635,0.6618783489575352,81.53399138027218
2017-09-22T00:00:00,48.179925737170386,0.6898421204281445,81.60374434642206
2017-09-23T00:00:00,48.34515661544845,0.6953151410973039,81.65884683949653
2017-09-24T00:00:00,48.35337948928814,0.6849666596258431,81.19517403767614
2017-09-25T00:00:00,48.21850639905855,0.6574762955356928,81.08207890716987
2017-09-26T00:00:00,47.801011749052556,0.630968532584493,81.16421449188601
2017-09-27T00:00:00,47.33953411449088,0.6280784761029349,81.01215009232986
2017-09-28T00:00:00,47.134944971684035,0.6217654300821385,80.63173323974756
2017-09-29T00:00:00,46.7931535537759,0.6064012561253855,80.68603280032248
2017-09-30T00:00:00,46.422912446602275,0.6280967395755069,81.13393561616418
2017-10-01T00:00:00,46.84418730924629,0.673542818867948,81.13180445199514
2017-10-02T00:00:00,47.82517874843674,0.6716366514290804,80.7805587796422
2017-10-03T00:00:00,47.77077222613741,0.6625493724661428,80.58588321384204
2017-10-04T00:00:00,47.80792403772758,0.6701680772428347,80.87845586363612
2017-10-05T00:00:00,48.27468502681348,0.6684545805234982,81.04836107174147
2017-10-06T00:00:00,47.58359270005295,0.64413685094313,80.49326934664795
2017-10-07T00:00:00,46.74481285939084,0.6089496708969108,79.89984283818698
2017-10-08T00:00:00,46.10349871861457,0.558211315442534,79.46372341593731
2017-10-09T00:00:00,45.45995092442331,0.5023147698883422,79.1078089069594
2017-10-10T00:00:00,44.875526741100934,0.4584754397115032,78.81048049367674
2017-10-11T00:00:00,45.3068171205552,0.4287469273471301,79.80774018309326
2017-10-12T00:00:00,46.52406014557997,0.5140200173314514,82.03768241322534
2017-10-13T00:00:00,47.225264315331806,0.9827160228423274,82.33537882706834
2017-10-14T00:00:00,49.085179122476575,0.9600619453616224,82.91743153908999
2017-10-15T00:00:00,47.946369465200405,0.8632558277865706,84.18535062790377
2017-10-16T00:00:00,45.71815054030136,0.9568717530530743,82.6614013686335
2017-10-17T00:00:00,45.45692713186895,0.9097303300964227,80.7603056089239
2017-10-18T00:00:00,45.21605980891402,0.7874782340093146,79.42740424585531
2017-10-19T00:00:00,44.290944440898976,0.6513499908374282,79.38129434055382
2017-10-20T00:00:00,43.7250549726104,0.546423483050449,79.77055339373305
2017-10-21T00:00:00,43.37725163232105,0.48540173169260975,79.35687459881989
2017-10-22T00:00:00,43.21142044345685,0.4460836393391024,78.64328607315304
2017-10-23T00:00:00,42.67016356237278,0.40921283856961055,78.3430997398458
2017-10-24T00:00:00,41.99454888643675,0.382724804510755,78.18835535887813
2017-10-25T00:00:00,41.64318815325609,0.3740294581673844,77.931087618469
2017-10-26T00:00:00,41.48251360801162,0.3720833368858362,77.70014792248638
2017-10-27T00:00:00,41.09674168622344,0.36189715292640745,77.40376396661482
2017-10-28T00:00:00,40.73043755529137,0.34879049486230335,76.96837276126296
2017-10-29T00:00:00,40.91229890478345,0.3936347003882394,76.98174095507612
2017-10-30T00:00:00,41.37007460971226,0.49672108137346993,77.77559310163406
2017-10-31T00:00:00,41.77576654374352,0.4760828225144926,77.88688184025506
2017-11-01T00:00:00,43.0102882442748,0.42830850966729933,77.16993246888767
2017-11-02T00:00:00,44.484243002876845,0.4178583495006925,78.29741479828428
2017-11-03T00:00:00,47.57700925811392,0.42543589914620883,79.88341289417933
2017-11-04T00:00:00,56.50702214939107,0.4484965708562147,79.97500678010014
2017-11-05T00:00:00,57.49536010539239,0.46194804948195184,78.07110324059403
2017-11-06T00:00:00,53.46831097637835,0.4529805683111865,75.70586292681357
2017-11-07T00:00:00,49.72766462388611,0.4327451784967646,73.34311998859131
2017-11-08T00:00:00,46.89725544261128,0.4072246528161392,70.54342096424263
2017-11-09T00:00:00,44.86929078722014,0.37500460048251405,67.17928243879793
2017-11-10T00:00:00,43.47260972245852,0.3432142564361706,63.524146269836734
2017-11-11T00:00:00,43.06383397689981,0.3382835923640981,59.79761321076446
2017-11-12T00:00:00,44.568091103127934,0.40730321939348385,56.48901076339839
